,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
13,4,0,2020-09-27,10,18,G1,2,3,11,1,0,17,3,4,4,1,8,16:00:00,Atromitos,A,D,OFI Crete,2,OFI Crete_Atromitos_2020
14,7,1,2020-09-27,8,17,G1,3,1,17,0,0,18,5,7,1,0,12,18:30:00,Lamia,H,H,AEK,0,AEK_Lamia_2020
15,2,0,2020-09-28,6,23,G1,1,2,3,0,0,14,4,3,3,1,3,17:30:00,Panathinaikos,A,D,Larisa,1,Larisa_Panathinaikos_2020
16,4,0,2020-10-03,10,21,G1,1,0,6,0,1,11,15,3,1,1,4,17:30:00,Asteras Tripolis,A,D,Panetolikos,1,Panetolikos_Asteras Tripolis_2020
17,3,0,2020-10-04,6,11,G1,0,2,8,0,0,19,2,8,3,1,2,14:00:00,Aris,A,A,Panathinaikos,1,Panathinaikos_Aris_2020
18,6,0,2020-10-04,10,9,G1,1,2,7,0,0,18,6,3,4,0,4,16:15:00,Larisa,D,H,Apollon,0,Apollon_Larisa_2020
19,5,1,2020-10-04,8,13,G1,3,2,11,0,0,21,4,8,4,0,7,16:15:00,OFI Crete,H,H,PAOK,0,PAOK_OFI Crete_2020
20,3,1,2020-10-04,10,15,G1,1,2,7,0,0,19,7,4,2,0,7,18:30:00,Olympiakos,H,D,Giannina,1,Giannina_Olympiakos_2020
21,1,1,2020-10-04,5,21,G1,1,2,9,1,0,12,0,2,2,0,6,19:45:00,AEK,H,H,Atromitos,0,Atromitos_AEK_2020
22,5,0,2020-10-05,6,21,G1,1,3,5,0,0,23,4,0,3,1,5,17:30:00,Volos NFC,A,A,Lamia,2,Lamia_Volos NFC_2020
23,3,0,2020-10-17,7,19,G1,2,2,10,0,0,18,4,4,3,1,4,14:00:00,Giannina,A,H,Volos NFC,1,Volos NFC_Giannina_2020
24,0,1,2020-10-17,2,19,G1,1,2,6,0,0,17,4,0,3,0,3,16:15:00,Apollon,H,H,Aris,0,Aris_Apollon_2020
25,1,0,2020-10-17,7,9,G1,4,3,12,1,0,18,1,6,0,0,4,18:30:00,Atromitos,D,H,Olympiakos,0,Olympiakos_Atromitos_2020
26,10,1,2020-10-18,12,19,G1,2,1,8,0,0,20,5,9,2,0,5,14:00:00,Panathinaikos,H,D,OFI Crete,2,OFI Crete_Panathinaikos_2020
27,5,0,2020-10-18,10,21,G1,1,4,12,0,0,11,5,5,5,1,7,16:15:00,Asteras Tripolis,A,A,Larisa,3,Larisa_Asteras Tripolis_2020
28,4,1,2020-10-18,13,13,G1,1,4,2,0,0,14,2,2,1,0,2,18:30:00,PAOK,H,D,AEK,1,AEK_PAOK_2020
29,1,0,2020-10-19,3,21,G1,0,5,7,0,1,19,3,4,3,0,6,17:30:00,Panetolikos,D,D,Lamia,0,Lamia_Panetolikos_2020
30,4,0,2020-10-21,11,23,G1,1,4,8,0,0,18,3,3,4,2,5,15:15:00,Giannina,A,A,Apollon,2,Apollon_Giannina_2020
31,5,0,2020-10-24,10,12,G1,1,3,7,0,0,21,5,9,3,0,3,18:30:00,Volos NFC,D,D,Panathinaikos,1,Panathinaikos_Volos NFC_2020
32,3,0,2020-10-25,4,24,G1,1,4,4,1,0,21,5,5,5,0,3,14:00:00,OFI Crete,D,H,Asteras Tripolis,0,Asteras Tripolis_OFI Crete_2020
33,5,0,2020-10-25,8,22,G1,0,4,7,0,0,14,3,3,5,1,1,18:30:00,AEK,A,A,Giannina,1,Giannina_AEK_2020
34,1,1,2020-10-26,2,22,G1,2,2,5,1,0,17,7,4,1,0,3,17:30:00,Panetolikos,H,H,Atromitos,0,Atromitos_Panetolikos_2020
35,5,0,2020-10-31,11,8,G1,2,1,12,0,0,22,7,11,2,0,10,13:00:00,Apollon,D,H,Olympiakos,0,Olympiakos_Apollon_2020
